Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou:,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
13/03/2020 10:41:738,UEL,BL - Ciências Biológicas,Doutorado,Ciências Biológicas,2017,UNICENTRO,"Iniciação científica, PET, Monitoria, Empresa Júnior",2012,2014,UFPR,56,CAPES,1,2,Sim,"R, SAS, Minitab, Statistica, SPSS, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Presencial,Não,Não,Totalmente em escola pública,ASFAF,Masculino,176,56,21/05/1993,ASFA,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,B (carro),Carro/moto próprio,4,8,"Cachorro, Gato, Pássaro, Peixe","Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:757,UEM,ET - Exatas,Pós-Doutorado,Ciências Exatas,1997,UFMS,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",2015,2017,UFPR,1,CAPES,3,12,Sim,"R, SAS, Minitab, Statistica, Excel, Matlab",Não sei ainda,8,AASFASF,Por alguma outra mídia social da UFPR,Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,180,97,02/11/1968,FE,"Pensão, quarto alugado ou algo similar",1,Curitiba,B (carro),Carro/moto próprio,15,5,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",56,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:776,UEPG,AG - Agrárias,Professor,Ciências Exatas,2008,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Não,2,3,Sim,"R, SAS, Minitab, SPSS, Excel, Matlab",Definitivamente não,10,JHGF,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,184,105,10/02/1976,GDF,Sozinho,1,Região metropolitana,B (carro),Carro/moto próprio,15,5,"Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",44,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:795,UNIOESTE,ET - Exatas,FGH,Ciências Exatas,2009,UTP - Universidade Tuiuti do Paraná,"PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,CAPES,1,0,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a) orientador(a),Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,190,94,21/11/1988,Trabalho ocasional,Com os pais,3,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,30,0,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:814,UNICENTRO,AG - Agrárias,JHG,Ciências Humanas,2018,Centro de Estudos Superiores de Londrina,"PET, Monitoria",2008,2011,UTFPR,2,Não,2,15,Sim,"R, Minitab, Statistica, SPSS, Excel, Matlab",Não sei ainda,8,Conseguir um emprego.,Por ex-alunos da Disciplina,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,165,85,26/12/1994,Trabalho por contrato,Com amigos,1,Outro Estado,B (carro),A pé,15,6,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo",Facebook,42,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:833,UENP,BL - Ciências Biológicas,WS,Ciências Humanas,2005,Unespar,"PET, Monitoria",2014,2016,Uepg,0,CAPES,1,0,Sim,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Definitivamente não,10,Conseguir um emprego.,Por colegas,Não,Presencial,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,185,100,23/12/1978,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Outro País,A e B (moto e carro),Serviço fretado de van/ônibus,240,2,Não possuo,Violão,"Facebook, Instagram",43,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:852,UNILA,ET - Exatas,LK,Ciências Exatas,2015,UFPR,"PET, Monitoria",,,,3,CNPQ,1,0,Sim,ASFDAF,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,ASFA,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,169,67,11/03/1991,Trabalho ocasional,Com outros familiares,1,Curitiba,B (carro),Transporte público,60,0,Não possuo,Violão,"Facebook, Instagram",30,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:871,IFPR,AG - Agrárias,ASX,Ciências Biológicas,1997,Unibrasil,"PET, Monitoria",2013,2015,UFPR,3,LACTEC,1,1,Sim,AFFHG,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FS,Sim,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,176,74,15/03/1974,Trabalho por contrato,Com amigos,5,Região metropolitana,A e B (moto e carro),Carro/moto próprio,20,2,Não possuo,Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:890,UTFPR,ET - Exatas,YG,Ciências Exatas,2011,Unibrasil,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,SIMEPAR,1,0,Sim,HKFFH,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FSAA,Sim,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,175,70,30/06/1973,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,2,Curitiba,A e B (moto e carro),Bicicleta,15,0,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",53,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:909,UFPR,"AC - Artes, Comunicação e Design",Mestrado Acadêmico,Ciências Exatas,2016,Universidade Federal de Rondônia,"Iniciação científica, PET, Monitoria, Projeto de extensão",2012,2015,PUC / RS,1,Fundação Araucária,0,0,Não,EDCS,Não sei ainda,5,AASFASF,SF,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,160,65,01/10/1992,PKLFA,"Pensão, quarto alugado ou algo similar",9,Interior do Paraná,A e B (moto e carro),avião,60,10,"Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:928,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Exatas,1985,IFPR,"Iniciação científica, PET, Monitoria, Empresa Júnior",,,,0,Não,2,0,Sim,Excel,Definitivamente não,9,JHGF,AF,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,170,65,17/05/1966,ASFA,Sozinho,3,Curitiba,B (carro),Carro/moto próprio,60,0,"Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",42,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:947,UFPR,BL - Ciências Biológicas,Doutorado,Ciências Humanas,2016,UFRRJ,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",2017,2019,UFPR,2,Não,1,1,Sim,Excel,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,AF,Não,Remota,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,171,74,22/10/1992,FE,Com os pais,2,Região metropolitana,Não,Bicicleta,10,2,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",55,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:966,UFPR,SA - Sociais Aplicadas,Doutorado,Ciências Humanas,2012,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,5,Não,1,7,Sim,Excel,Não sei ainda,9,Conseguir um emprego.,FAF,Não,Presencial,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,173,105,31/10/1990,GDF,Com amigos,1,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,10,0,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:985,UFPR,ET - Exatas,Doutorado,Ciências Exatas,2017,PUCPR,"PET, Monitoria, Projeto de extensão, Empresa Júnior",2017,2019,UNICENTRO,1,CAPES,1,0,Sim,Excel,Definitivamente não,8,Conseguir um emprego.,FF,Não,Remota,Não,Sim,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,170,68,27/01/1985,Trabalho ocasional,Com os pais,2,Outro Estado,B (carro),Carro/moto próprio,30,4,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo",Facebook,60,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1004,UFPR,JD - Jurídicas,Mestrado Acadêmico,Ciências Biológicas,2009,UFPI,AJKSFHAKF,2014,2016,UFC,1,CAPES,1,4,Sim,"R, SAS, Excel",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,165,56,09/08/1979,Trabalho por contrato,Com outros familiares,2,Outro País,B (carro),Transporte público,30,10,Não possuo,Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1023,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Exatas,2014,UFPR,ASFDASF,,,,0,Não,0,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,7,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola pública,F,Masculino,170,60,27/09/1993,Trabalho com carteira assinada/Vínculo Formal,Com amigos,2,Curitiba,B (carro),Carro/moto próprio,20,0,Não possuo,Violão,"Facebook, Instagram",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1042,UFPR,CH - Humanas,Mestrado Acadêmico,Ciências Exatas,2014,UFPR,HGJJHGJ,,,,0,CAPES,1,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,175,66,15/01/1991,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,3,Região metropolitana,Não,Transporte público,100,0,"Cachorro, Gato, Pássaro, Peixe",Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1061,UFPR,CT - Ciências da Terra,Mestrado Profissional,Ciências Exatas,2021,UFPR,ERSFS,,,,0,Não,1,1,Sim,"R, SAS, Minitab, Statistica, SPSS, Matlab",Não sei ainda,9,AASFASF,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,185,68,13/02/1991,Trabalho por contrato,"Pensão, quarto alugado ou algo similar",6,Curitiba,B (carro),Carro/moto próprio,15,50,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",35,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1080,UFPR,EP - Educação Profissional e Tecnológica,Doutorado,Ciências Humanas,2018,Curtin University,"ASFAF, Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",2016,2018,UFPR,0,CAPES,1,0,Sim,"R, SAS, Minitab, Statistica, Excel, Matlab",Definitivamente não,6,JHGF,Por alguma outra mídia social da UFPR,Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,165,92,28/03/1992,Bolsista em tempo integral,Sozinho,2,Interior do Paraná,A (moto),Táxi/Aplicativo,15,20,"Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",63,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1099,UFPR,ED - Educação,Pós-Doutorado,Ciências Humanas,2016,UFPR,"PET, Monitoria",2016,2018,UFPR,1,CNPQ,0,1,Sim,"R, SAS, Minitab, SPSS, Excel, Matlab",Certamente sim,5,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,177,68,28/06/1994,PKLFA,Com os pais,1,Curitiba,B (carro),Carro/moto próprio,30,1,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1118,UFPR,SL - Litoral,Professor,Ciências Exatas,2017,UNILAB,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,LACTEC,2,0,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Não sei ainda,10,Conseguir um emprego.,Pelo(a) orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,186,80,01/03/1993,ASFA,Com amigos,6,Região metropolitana,Não,Transporte público,20,2,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1137,UFPR,SP - Palotina,FGH,Ciências Biológicas,2018,UFSC,"Iniciação científica, PET, Monitoria, Projeto de extensão",2017,2019,UFPR,9,SIMEPAR,2,1,Sim,"R, Minitab, Statistica, SPSS, Excel, Matlab",Definitivamente não,10,Conseguir um emprego.,Por ex-alunos da Disciplina,Não,Presencial,Não,Não,Totalmente em escola particular,ASFAF,Masculino,167,80,23/11/1969,FE,Com os pais,1,Interior do Paraná,B (carro),Carro/moto próprio,10,4,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1156,UFPR,TC - Tecnologia,JHG,Ciências Exatas,2010,UFPR,"Iniciação científica, PET, Monitoria, Empresa Júnior",,,,0,Fundação Araucária,10,0,Sim,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Por colegas,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,174,78,05/12/1985,GDF,Com outros familiares,1,Outro Estado,B (carro),Transporte público,60,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo",Facebook,52,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1175,ADFSA,ET - Exatas,WS,Ciências Exatas,2017,CENTRO UNIVERSITÁRIO CLARETIANO,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",,2020,,0,Não,1,0,Não,ASFDAF,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,ASFA,Sim,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,180,130,21/03/1990,Trabalho ocasional,Com amigos,5,Outro País,B (carro),Carro/moto próprio,10,0,Não possuo,Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1194,ASFDA,AG - Agrárias,LK,Ciências Exatas,2018,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2010,2012,UFPR,9,Não,1,1,Sim,AFFHG,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FS,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,155,52,02/06/1995,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,0,Curitiba,B (carro),Carro/moto próprio,3,3,"Cachorro, Gato, Pássaro, Peixe",Violão,"Facebook, Instagram",48,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1213,E,ET - Exatas,ASX,Ciências Humanas,2013,UFPR,"PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Não,1,2,Sim,HKFFH,Não sei ainda,5,AASFASF,FSAA,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,167,51,10/09/1991,Trabalho com carteira assinada/Vínculo Formal,"Pensão, quarto alugado ou algo similar",2,Região metropolitana,B (carro),Transporte público,25,1,"Tartaruga, Coelho",Violão,"Facebook, Instagram",50,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1232,GFH,AG - Agrárias,YG,Ciências Humanas,2002,UFPR,"PET, Monitoria",2019,,,0,CAPES,1,0,Sim,EDCS,Definitivamente não,8,JHGF,SF,Não,Presencial,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,160,48,02/04/1978,Trabalho ocasional,Sozinho,4,Curitiba,Não,Transporte público,60,10,"Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1251,HG,BL - Ciências Biológicas,Mestrado Acadêmico,Ciências Exatas,2022,PUCPR,"PET, Monitoria",2016,2018,UFPR,4,CAPES,0,10,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,AF,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,180,72,15/02/1971,Trabalho por contrato,Com os pais,2,Interior do Paraná,B (carro),Carro/moto próprio,10,2,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",48,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1270,FJHGJH,ET - Exatas,Mestrado Acadêmico,Ciências Biológicas,2017,Faculdade Estadual de Ciências Econômicas de Apucarana,"PET, Monitoria",2007,2009,UFPR,1,Não,2,1,Sim,Excel,Não sei ainda,5,Conseguir um emprego.,AF,Não,Presencial,Não,Sim,Totalmente em escola particular,ASFAF,Masculino,170,75,27/12/1979,Bolsista em tempo integral,Com amigos,1,Curitiba,A e B (moto e carro),Transporte público,35,8,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",51,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1289,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2016,FAE,"PET, Monitoria",2015,2017,UFPR,0,CAPES,2,32,Sim,Excel,Definitivamente não,10,Conseguir um emprego.,FAF,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,179,160,19/06/1991,PKLFA,Com os pais,2,Região metropolitana,B (carro),Carro/moto próprio,30,2,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1308,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Humanas,2016,UFPR,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Não,2,0,Sim,Excel,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,FF,Não,Presencial,Não,Não,Totalmente em escola pública,F,Masculino,178,90,01/09/1994,ASFA,Com outros familiares,6,Interior do Paraná,B (carro),Carro/moto próprio,30,5,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",47,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1327,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Humanas,2012,PUCPR,"Iniciação científica, PET, Monitoria, Projeto de extensão",2017,2019,UFPR,0,CAPES,2,1,Sim,"R, SAS, Excel",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,162,64,26/05/1989,FE,Com amigos,1,Outro Estado,Superior à B,Carro/moto próprio,10,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo",Facebook,48,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1346,UFPR,AG - Agrárias,Mestrado Profissional,Ciências Exatas,2015,PUCPR,"Iniciação científica, PET, Monitoria, Empresa Júnior",,2020,,1,CNPQ,5,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,186,82,20/03/1994,GDF,Com o namorado(a)/noivo(a)/cônjuge,1,Outro País,B (carro),Transporte público,40,1,"Cachorro, Gato, Pássaro, Peixe",Violão,"Facebook, Instagram",64,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1365,UEL,BL - Ciências Biológicas,Doutorado,Ciências Biológicas,2013,Universidade Estadual do Sudoeste da Bahia,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",2013,2015,UFPR,1,LACTEC,1,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel",Não sei ainda,10,AASFASF,Site da UFPR ou instituição de origem,Não,Presencial,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,164,52,10/12/1984,Trabalho ocasional,"Pensão, quarto alugado ou algo similar",1,Curitiba,A e B (moto e carro),Carro/moto próprio,20,5,"Tartaruga, Coelho",Violão,"Facebook, Instagram",25,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1384,UEM,ET - Exatas,Pós-Doutorado,Ciências Exatas,2015,Bom Jesus/IELUSC,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,SIMEPAR,1,7,Sim,"R, SAS, Minitab, Statistica, SPSS, Matlab",Definitivamente não,9,JHGF,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,170,60,08/07/1990,Trabalho por contrato,Sozinho,1,Região metropolitana,B (carro),Ônibus convencional interestadual,120,8,"Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",54,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1403,UEPG,AG - Agrárias,Professor,Ciências Exatas,1985,UFPR,"PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Fundação Araucária,30,6,Sim,"R, SAS, Minitab, Statistica, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por alguma outra mídia social da UFPR,Não,Presencial,Não,Não,Totalmente em escola pública,ASFAF,Masculino,167,68,21/06/1959,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Curitiba,B (carro),Carro/moto próprio,15,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1422,UNIOESTE,ET - Exatas,FGH,Ciências Exatas,2007,UFPR,AJKSFHAKF,2016,2018,UNICENTRO,5,Não,1,1,Sim,"R, SAS, Minitab, SPSS, Excel, Matlab",Não sei ainda,8,Conseguir um emprego.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,176,76,28/08/1964,Trabalho ocasional,Com amigos,1,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,10,1,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1441,UNICENTRO,AG - Agrárias,JHG,Ciências Humanas,2017,UFPR,ASFDASF,,,,0,Não,1,0,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Definitivamente não,10,Conseguir um emprego.,Pelo(a) orientador(a),Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,170,82,27/03/1995,Trabalho por contrato,Com os pais,2,Curitiba,B (carro),Carro/moto próprio,30,0,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",42,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1460,UENP,BL - Ciências Biológicas,WS,Ciências Humanas,2014,UFPR,HGJJHGJ,2008,2011,UFPR,5,Não,0,0,Não,"R, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,9,Aumento salarial e oportunidades mais promissoras.,Por ex-alunos da Disciplina,Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,180,80,21/08/1990,Bolsista em tempo integral,Com outros familiares,1,Região metropolitana,B (carro),Táxi/Aplicativo,15,20,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",47,B se chama Bouba e A se chama Kiki.
